"icao","call_sign","time","lat","lon","baro_alt","geo_alt","velocity","heading","vertical_rate","diff_time","Time"
"4aaa15","SEJPU",1623061010,59.4500427246094,18.0756225585938,403.86,495.3,65.5789998662682,184.950272234292,-2.60096,10,0.128378378378378
"4aaa15","SEJPU",1623061020,59.4445542157707,18.0752563476562,396.24,480.06,59.6954575434031,181.481457170887,0.32512,10,0.131756756756757
"4aaa15","SEJPU",1623061030,59.4392852783203,18.0752563476562,403.86,495.3,55.6765322651292,176.29157184287,2.27584,10,0.135135135135135
"4aaa15","SEJPU",1623061040,59.4347316935911,18.0770558324353,457.2,556.26,52.0580725954452,161.565051177078,9.7536,10,0.138513513513514
"4aaa15","SEJPU",1623061050,59.4304504394531,18.08056640625,556.26,647.7,48.0860688844621,153.983217059226,7.47776,10,0.141891891891892
"4aaa15","SEJPU",1623061060,59.4264919474973,18.0831172548491,609.6,701.04,46.348520911642,171.060434996848,6.17728,10,0.14527027027027
"4aaa15","SEJPU",1623061070,59.4223487983316,18.0836855132004,678.18,769.62,45.2827623996784,181.301952672579,6.5024,10,0.148648648648649
"4aaa15","SEJPU",1623061080,59.4182056491658,18.0829278353987,739.14,822.96,46.7804723183251,188.219209248899,6.17728,10,0.152027027027027
"4aaa15","SEJPU",1623061090,59.4140625,18.0815734863281,800.1,883.92,49.2363492034671,190.84030545433,6.82752,10,0.155405405405405
"4aaa15","SEJPU",1623061100,59.4097137451172,18.0800170898438,876.3,960.12,50.5753661439978,189.366509957012,8.77824,10,0.158783783783784
"4aaa15","SEJPU",1623061110,59.4048917091499,18.0783817685884,906.78,1005.84,58.5291690658289,190.124671655398,-0.32512,10,0.162162162162162
"4aaa15","SEJPU",1623061120,59.3994450973252,18.0768664129849,906.78,1005.84,63.174058341782,186.546290783294,0.97536,10,0.165540540540541
"4aaa15","SEJPU",1623061130,59.3938751220703,18.0752563476562,922.02,1028.7,63.6851752098493,189.766679395773,2.27584,10,0.168918918918919
"4aaa15","SEJPU",1623061140,59.3881794557733,18.0733621531519,944.88,1051.56,64.1922225479654,189.688786560367,2.27584,10,0.172297297297297
"4aaa15","SEJPU",1623061150,59.3822937011719,18.0712280273438,960.12,1066.8,63.8677616084451,190.676355682696,2.27584,10,0.175675675675676
"4aaa15","SEJPU",1623061160,59.376774157508,18.0689107960668,975.36,1082.04,64.5109494052258,193.371331969892,1.6256,10,0.179054054054054
"4aaa15","SEJPU",1623061170,59.3712809934455,18.066353633486,982.98,1089.66,63.5624656254788,191.673710312885,0.65024,10,0.182432432432432
"4aaa15","SEJPU",1623061180,59.3656311035156,18.0640869140625,998.22,1104.9,61.7504257523095,190.561010691196,0.97536,10,0.185810810810811
"4aaa15","SEJPU",1623061190,59.3602481130826,18.0620916958513,998.22,1112.52,61.1517918763766,190.175510843043,0.65024,10,0.189189189189189
"4aaa15","SEJPU",1623061200,59.3550567626953,18.0606079101562,1013.46,1120.14,56.9245710668177,186.225829064426,0.97536,10,0.192567567567568
